"v1","v2"
"ex 1",-4.95844189193383,1.17465462636420
"ex 2",-5.77142100669211,2.83343928419756
"ex 3",5.54624739519815,-5.60267697886173
"ex 4",1.27756290547347,1.66762192053496
"ex 5",4.00131663942571,7.49910258618324
"ex 6",1.19918286045555,-3.94635612012035
"ex 7",-8.08344001337978,-5.53884649273017
"ex 8",-2.01379033576310,-9.20388519649678
"ex 9",-1.52004408505320,-0.457148513225841
"ex 10",-5.85588214113371,5.6088510502517
"ex 11",-1.40328662754077,3.27779556768680
"ex 12",7.41268265708348,0.957325801886587
"ex 13",-8.22231508251705,-6.31289680397301
"ex 14",-3.59435496322833,-0.769826422330972
"ex 15",7.4667476091097,1.91597325483428
"ex 16",4.9319009325564,3.96013337148948
"ex 17",-2.85831476100540,2.99256733014775
"ex 18",-3.21017784951421,-0.854378626809823
"ex 19",2.99719889639028,-5.25781657840703
"ex 20",-2.41242564371086,0.935522097513604
"ex 21",-8.48173798055762,0.95233200472589
"ex 22",-0.352412251454131,4.04569096319532
"ex 23",1.68274251707995,-1.40208346744617
"ex 24",-2.54460723008018,-5.86802278286118
"ex 25",-6.00519504732446,-3.42667908867155
"ex 26",5.11398940445797,-4.4078331039701
"ex 27",-6.89726671371328,-2.52395201947695
"ex 28",-1.85608925555830,-11.7792616537406
"ex 29",2.68520142817616,3.4367690354526
"ex 30",2.53547494827817,1.04190258648922
"ex 31",-1.09461128179779,-0.77397334818711
"ex 32",-2.01142779277002,1.77271044168421
"ex 33",-5.60927045485736,-0.304030163031177
"ex 34",-12.0021701273952,-8.60529514269066
"ex 35",2.62824532204944,2.09946799048456
"ex 36",4.63055452380170,2.78965517066491
"ex 37",-4.29526539621466,-5.86206166087245
"ex 38",3.62149775759586,0.461587635627981
"ex 39",2.01325353519276,-1.98918557840555
"ex 40",1.65382454164575,2.85004022166232
"ex 41",3.18118192005214,-5.22647331416703
"ex 42",-1.23080387973215,-3.55252654953087
"ex 43",2.80268782388028,2.32406687356658
"ex 44",-0.355475709544504,7.19378235804159
"ex 45",-4.84362239659312,-6.61367651891973
"ex 46",5.02663294726805,-3.88304359212997
"ex 47",-5.10613124262185,-5.63103135871962
